index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
4667,453871,ASASSN-V J171819.18+043019.9,RRAB,0.0652,15.9,5736.928,0.5076,0.0433
4668,486293,ASASSN-V J153044.08-460551.6,RRAB,0.1904,14.58,4008.058,0.49093,0.0324
4669,466745,ASASSN-V J185000.77-334208.7,RRAB,0.1717,15.86,4535.194,0.52063,0.0444
4670,460311,ASASSN-V J195247.93-143742.7,RRAB,0.1565,15.05,4729.876,0.525,0.0352
4671,523369,ASASSN-V J073751.73-201717.6,RRAB,0.2132,14.77,4451.187,0.586061,0.0289
4672,458808,ASASSN-V J185952.48-224442.7,RRAB,0.0845,15.37,6442.277,0.57501,0.0385
4673,450714,ASASSN-V J194924.26+032918.6,RRAB,0.1442,15.28,4355.081,0.54908,0.0494
4674,476024,ASASSN-V J125357.48-583513.9,RRAB,0.1568,14.92,4572.528,0.62445,0.0246
4675,511906,ASASSN-V J172454.57-171647.9,RRAB,0.0812,16.15,5653.605,0.53334,0.0469
4676,469772,ASASSN-V J191750.49-255254.4,RRAB,0.051,15.08,7148.612,0.61878,0.0489
4677,507516,ASASSN-V J101712.92-462249.6,RRAB,0.2027,14.17,3898.189,0.52837,0.0207
4678,474959,ASASSN-V J022423.07+552931.4,RRAB,0.1636,15.27,4460.153,0.57135,0.0248
4679,465053,ASASSN-V J200655.12+083759.3,RRAB,0.0747,15.04,6801.683,0.56564,0.034
4680,AP14730437,ASASSN-V J191802.27+504519.2,RRAB,0.4858,14.16,1934.991,0.436377,0.0348
4681,461166,ASASSN-V J184956.48+200233.8,RRAB,0.2858,14.53,3016.473,0.37782,0.0247
4682,506944,ASASSN-V J131514.67-662656.0,RRAB,0.266,14.06,3275.483,0.45274,0.0178
4683,493078,ASASSN-V J184349.16-224312.3,RRAB,0.1616,14.63,4364.425,0.61505,0.0467
4684,515878,ASASSN-V J025053.13+630138.0,RRAB,0.248,14.55,3190.7,0.45151,0.0314
4685,450232,ASASSN-V J183638.52-445357.0,RRAB,0.1054,13.45,6574.28,0.60879,0.0287
4686,505953,ASASSN-V J180920.01-372332.1,RRAB,0.092,14.01,6019.192,0.56309,0.0317
4687,461224,ASASSN-V J180325.89-475156.0,RRAB,0.115,14.19,6422.628,0.61702,0.0259
4688,559904,ASASSN-V J081900.26-683614.5,RRAB,0.083,15.89,6259.611,0.59478,0.029
4689,456792,ASASSN-V J071401.29+184832.7,RRAB,0.0679,15.28,4999.304,0.45943,0.0369
4690,AP38198032,ASASSN-V J090559.98-714732.0,RRAB,0.339,15.88,2690.986,0.665109,0.0324
4691,559724,ASASSN-V J172402.35-702911.5,RRAB,0.1623,14.76,4844.062,0.53639,0.0203
4692,508228,ASASSN-V J102130.74-505635.3,RRAB,0.2107,14.36,3804.646,0.59077,0.0174
4693,516445,ASASSN-V J171210.17-261331.0,RRAB,0.1432,14.93,4960.147,0.49035,0.0403
4694,AP52553831,ASASSN-V J162110.86-435032.1,RRAB,0.3549,16.05,2446.533,0.697476,0.0347
4695,455833,ASASSN-V J160121.31-281325.6,RRAB,0.1136,15.88,4656.818,0.48765,0.0529
4696,486718,ASASSN-V J170612.44-130746.2,RRAB,0.134,16.63,7393.242,0.50092,0.0553
4697,455190,ASASSN-V J134058.79+651936.1,RRAB,0.0348,15.43,10115.29,0.50187,0.0266
4698,521817,ASASSN-V J121811.61-533214.9,RRAB,0.1533,16.06,4356.75,0.371579,0.0409
4699,477294,ASASSN-V J023433.42+540922.6,RRAB,0.1452,14.78,5554.456,0.65228,0.0251
4700,468112,ASASSN-V J062805.03+142806.6,RRAB,0.1849,14.06,4196.596,0.640712,0.0176
4701,509110,ASASSN-V J164836.18-262843.9,RRAB,0.1425,14.43,5916.13,0.65205,0.035
4702,460763,ASASSN-V J182802.91+033048.1,RRAB,0.1712,15.55,4410.755,0.49865,0.0413
4703,520952,ASASSN-V J170401.18-644554.6,RRAB,0.0756,15.33,6243.107,0.5988,0.0311
4704,507310,ASASSN-V J135743.45-481839.4,RRAB,0.1305,14.85,4975.396,0.52061,0.0296
4705,483087,ASASSN-V J184622.70-145615.4,RRAB,0.1473,15.01,6013.55,0.672432,0.0476
4706,508341,ASASSN-V J101745.26-512417.1,RRAB,0.1439,15.31,4764.866,0.49465,0.0294
4707,510789,ASASSN-V J172836.05-493916.4,RRAB,0.1295,14.96,5366.846,0.64623,0.0262
4708,460023,ASASSN-V J041747.19-811655.8,RRAB,0.1019,16.48,5686.555,0.48503,0.0347
4709,29732791,ASASSN-V J171555.93-164628.1,RRAB,0.6732,14.8,1399.146,0.423851,0.0274
4710,J143158.02-191007.2,ASASSN-V J143158.02-191007.2,RRAB,2.0932,14.54,468.3932,0.587682,0.026
4711,484852,ASASSN-V J164022.47-324744.0,RRAB,0.2236,15.31,3537.772,0.57156,0.038
4712,475255,ASASSN-V J100748.83-460843.0,RRAB,0.093,14.83,5718.422,0.58163,0.0304
4713,489002,ASASSN-V J193108.16-104400.1,RRAB,0.0914,15.87,5323.784,0.56067,0.0467
4714,489494,ASASSN-V J160151.21-360057.2,RRAB,0.164,14.98,5008.749,0.66075,0.0307
4715,482475,ASASSN-V J172854.81-110250.8,RRAB,0.1616,16.62,3821.345,0.429739,0.0631
4716,480967,ASASSN-V J104612.33-684650.7,RRAB,0.2089,14.05,4023.696,0.45998,0.0168
4717,521704,ASASSN-V J234934.56+500420.6,RRAB,0.0695,15.55,5701.679,0.52356,0.0366
4718,450384,ASASSN-V J172053.22-675551.5,RRAB,0.0928,15.48,6237.403,0.66707,0.0303
4719,655948,ASASSN-V J101300.83-663250.9,RRAB,0.0635,14.79,6502.625,0.5506,0.0325
4720,516607,ASASSN-V J131906.36-521911.7,RRAB,0.1717,15.16,4352.697,0.54453,0.0313
4721,656793,ASASSN-V J194119.26-030651.0,RRAB,0.1246,15.66,5047.962,0.477779,0.0378
4722,467429,ASASSN-V J134115.40-261341.9,RRAB,0.072,16.37,4428.938,0.51241,0.0701
4723,505969,ASASSN-V J182054.83-370823.6,RRAB,0.1139,14.7,5432.201,0.55458,0.0392
4724,471531,ASASSN-V J154752.62-261335.6,RRAB,0.1815,15.54,4082.261,0.41106,0.0372
4725,503525,ASASSN-V J194835.91-060943.0,RRAB,0.1514,15.2,4355.16,0.53442,0.0376
4726,J192529.95+424733.0,ASASSN-V J192529.95+424733.0,RRAB,1.775,13.24,556.1231,0.566777,0.0169
4727,458767,ASASSN-V J191802.67-221751.3,RRAB,0.0992,14.9,5063.936,0.52818,0.0502
4728,563682,ASASSN-V J140205.26-550418.0,RRAB,0.0542,15.3,6149.225,0.61714,0.0408
4729,510481,ASASSN-V J173723.55-505202.1,RRAB,0.0865,15.69,5567.012,0.47478,0.0382
4730,465587,ASASSN-V J193433.62+344132.5,RRAB,0.1667,13.93,5427.595,0.64914,0.0153
4731,484995,ASASSN-V J172009.99-133450.9,RRAB,0.1379,15.76,4090.806,0.50984,0.0794
4732,450133,ASASSN-V J185417.52-382908.1,RRAB,0.1052,15.64,5308.444,0.70561,0.0461
4733,520611,ASASSN-V J182730.56+192422.5,RRAB,0.1461,15.45,5105.457,0.56204,0.0262
4734,459162,ASASSN-V J195642.01-150458.8,RRAB,0.152,15.39,4602.63,0.63463,0.0333
4735,455691,ASASSN-V J220227.37-682550.5,RRAB,0.1575,14.28,5043.558,0.56271,0.0186
4736,461336,ASASSN-V J190508.87+305651.4,RRAB,0.0722,15.87,6926.852,0.66011,0.0294
4737,489593,ASASSN-V J171531.19-543044.3,RRAB,0.0567,16.07,7789.695,0.61503,0.0306
4738,466648,ASASSN-V J184447.74-344113.5,RRAB,0.1791,14.8,4170.048,0.66453,0.0393
4739,AP28549835,ASASSN-V J185510.15-184304.1,RRAB,1.3185,14.43,6081.614,0.549145,0.303
4740,502645,ASASSN-V J182205.45+172249.1,RRAB,0.1635,15.07,4899.74,0.57746,0.0235
4741,509716,ASASSN-V J151612.23-451147.5,RRAB,0.0396,16.06,6396.764,0.48288,0.0372
4742,450306,ASASSN-V J183106.01-442437.8,RRAB,0.0853,15.14,8522.539,0.48988,0.0371
4743,453325,ASASSN-V J151820.07+020732.7,RRAB,0.0581,13.88,7839.277,0.66023,0.0276
4744,490822,ASASSN-V J170415.85-571953.1,RRAB,0.0833,15.89,6138.305,0.47362,0.0378
4745,465205,ASASSN-V J200930.08+113854.7,RRAB,0.1208,14.86,4890.337,0.5929,0.025
4746,502514,ASASSN-V J170521.66-692906.2,RRAB,0.0587,15.45,6836.358,0.48717,0.035
4747,523319,ASASSN-V J172136.64-571237.6,RRAB,0.0567,14.53,7498.612,0.68074,0.0317
4748,505001,ASASSN-V J121757.38-504930.1,RRAB,0.1548,15.48,4420.341,0.51337,0.0355
4749,449357,ASASSN-V J164826.65-683437.2,RRAB,0.1706,14.38,4382.175,0.52618,0.0216
4750,448595,ASASSN-V J170359.66+034445.0,RRAB,0.2693,13.54,3359.496,0.63691,0.0161
4751,488188,ASASSN-V J191810.44-164745.9,RRAB,0.0857,15.68,5942.957,0.489,0.0418
4752,491005,ASASSN-V J190930.80-132352.5,RRAB,0.0833,15.8,6236.319,0.58281,0.0394
4753,483075,ASASSN-V J184940.12-132140.1,RRAB,0.2725,16.06,2972.44,0.54839,0.0342
4754,467012,ASASSN-V J184357.81-335357.8,RRAB,0.106,15.35,4846.863,0.53939,0.0583
4755,490470,ASASSN-V J152304.08-385153.9,RRAB,0.3555,12.88,2596.021,0.57794,0.0164
4756,462156,ASASSN-V J173453.38-015223.6,RRAB,0.1705,15.22,4379.217,0.4658,0.032
4757,467314,ASASSN-V J052912.91+222623.1,RRAB,0.1855,16.84,3553.409,0.55945,0.0661
4758,457249,ASASSN-V J220932.18-794335.9,RRAB,0.1935,14.36,3955.666,0.62797,0.0169
4759,AP28272684,ASASSN-V J185653.07-263137.2,RRAB,0.0722,15.33,7575.824,0.73459,0.0468
4760,493622,ASASSN-V J185316.73-230015.0,RRAB,0.0427,15.02,7774.908,0.5736,0.0339
4761,511928,ASASSN-V J170431.37-202012.7,RRAB,0.1133,15.47,6971.679,0.55803,0.0374
4762,503268,ASASSN-V J190153.37-234916.4,RRAB,0.08,15.97,5788.948,0.52481,0.0466
4763,AP9214557,ASASSN-V J140756.48+800628.9,RRAB,0.1036,16.12,6208.223,0.554339,0.032
