index,source_id,asassn_name,variable_type,parallax,mean_vmag,dist,period,parallax_error
595,465514,ASASSN-V J193153.57+340755.7,RRC,0.4079,14.32,2294.967,0.275543,0.0163
596,AP13940595,ASASSN-V J202426.76+371934.2,RRC,1.3922,13.49,703.0494,0.198627,0.0112
597,502823,ASASSN-V J183034.07-514902.1,RRC,0.1703,13.79,4578.57,0.3054,0.0168
598,464358,ASASSN-V J183133.10-483831.2,RRC,0.1868,13.76,4161.178,0.30119,0.0219
599,AP50780003,ASASSN-V J170054.08-582055.6,RRC,0.4816,13.78,1899.4,0.371717,0.018
600,564577,ASASSN-V J044822.41+495237.7,RRC,0.5716,14.27,1630.929,0.33851,0.0201
601,AP52970340,ASASSN-V J154613.43-353213.1,RRC,0.2206,15.81,3527.265,0.371781,0.0428
602,AP52729181,ASASSN-V J152713.19-433432.6,RRC,0.1805,14.83,4117.549,0.257857,0.026
603,45244317,ASASSN-V J085528.45-354345.0,RRC,0.4567,13.77,2019.999,0.387949,0.0125
604,AP39465438,ASASSN-V J081313.93-630819.9,RRC,0.4684,14.58,1989.597,0.27593,0.0163
605,AP38110060,ASASSN-V J080037.92-765617.9,RRC,0.2096,15.34,3846.702,0.333654,0.0209
606,AP55162301,ASASSN-V J140801.16-331543.0,RRC,0.725,11.63,1028.054,0.39674,0.1106
607,485813,ASASSN-V J140112.86-732354.2,RRC,0.1035,15.19,6440.097,0.30762,0.0214
608,460150,ASASSN-V J180609.67+103951.9,RRC,0.221,14.1,3833.898,0.27264,0.0166
609,AP14379331,ASASSN-V J195937.56+532505.2,RRC,0.2956,12.97,3078.038,0.214356,0.012
610,AP53164230,ASASSN-V J163635.40-335243.4,RRC,0.548,12.63,1726.048,0.210361,0.0323
611,AP57635598,ASASSN-V J184338.91-641113.9,RRC,0.3821,13.84,2301.882,0.39769,0.0192
612,AP39590072,ASASSN-V J080347.24-584221.0,RRC,2.373,14.93,415.84,0.46379,0.0162
613,AP43840227,ASASSN-V J060301.03-530222.1,RRC,1.406,12.09,696.438,0.225276,0.0102
614,AP51894438,ASASSN-V J173518.39-433252.5,RRC,0.3308,14.48,2695.312,0.224804,0.0259
615,AP38231041,ASASSN-V J084121.89-710538.7,RRC,2.0826,11.38,474.4047,0.341214,0.0139
616,AP39621224,ASASSN-V J075555.38-583655.0,RRC,0.2519,15.62,3345.384,0.317822,0.0259
617,AP38223292,ASASSN-V J081427.08-730756.7,RRC,0.7868,12.98,1235.277,0.380469,0.0149
618,AP10721862,ASASSN-V J213230.10+274556.8,RRC,0.6556,13.4,1447.349,0.301184,0.0127
619,AP39817538,ASASSN-V J090709.20-571134.8,RRC,0.425,14.22,2146.704,0.241046,0.0162
620,AP16119734,ASASSN-V J223728.65+772254.6,RRC,0.3261,14.55,2856.034,0.329075,0.0151
621,AP53744174,ASASSN-V J122024.24-630228.8,RRC,0.2704,16.09,3143.042,0.448351,0.0277
622,AP48851718,ASASSN-V J141054.55-664249.3,RRC,0.5285,14.19,8155.14,0.408326,0.4387
623,463482,ASASSN-V J023345.30-060748.4,RRC,0.338,12.94,2647.044,0.24797,0.0207
624,509254,ASASSN-V J150741.19-425606.0,RRC,0.2453,13.76,3405.038,0.41863,0.0157
625,AP52562478,ASASSN-V J162103.43-422157.1,RRC,0.5086,15.09,1842.922,0.370219,0.0337
626,462091,ASASSN-V J201842.73-023258.8,RRC,0.1038,14.93,4755.636,0.26495,0.0288
627,AP39129471,ASASSN-V J101744.78-584740.0,RRC,0.5852,13.83,1600.598,0.217633,0.022
628,472480,ASASSN-V J140451.85-531843.8,RRC,0.2992,14.52,2850.994,0.25695,0.0274
629,AP57363070,ASASSN-V J215445.77-633243.5,RRC,0.1021,14.49,5936.737,0.395962,0.0174
630,AP48292737,ASASSN-V J163837.98-625411.3,RRC,0.3806,13.69,13441.63,0.316752,0.3569
631,AP39567133,ASASSN-V J080600.20-615257.1,RRC,1.9748,11.68,498.7976,0.42827,0.0168
632,AP39604195,ASASSN-V J073931.24-593949.2,RRC,1.5583,12.98,634.0936,0.204434,0.0402
633,AP43174587,ASASSN-V J065844.22-474443.2,RRC,3.3028,13.63,299.4893,0.522546,0.0178
634,AP57890246,ASASSN-V J204415.17-492143.8,RRC,0.5027,13.59,1837.772,0.256904,0.0162
635,AP39631059,ASASSN-V J080714.58-562623.3,RRC,0.3429,15.12,1894.487,0.212059,0.1161
636,469614,ASASSN-V J185606.15-260257.9,RRC,0.2987,13.72,2893.712,0.34091,0.025
637,AP50883423,ASASSN-V J174331.76-563650.1,RRC,0.1078,14.26,5945.114,0.274683,0.0243
638,654725,ASASSN-V J050800.31-210402.5,RRC,0.1342,15.61,4718.661,0.342924,0.0304
639,AP39435411,ASASSN-V J074036.62-670400.1,RRC,5.688,13.28,175.7626,0.311041,0.028
640,40604167,ASASSN-V J111636.59-581423.1,RRC,0.6982,14.57,2301.908,0.359848,0.1176
641,AP58737004,ASASSN-V J192115.85-475229.9,RRC,0.9648,11.28,1013.503,0.197166,0.0171
642,489155,ASASSN-V J193256.86-153011.0,RRC,0.1928,14.2,4139.036,0.31229,0.0203
643,AP54872269,ASASSN-V J143021.54-430734.4,RRC,1.5958,13.35,579.3696,0.210135,0.31
644,AP39668167,ASASSN-V J090907.92-622314.9,RRC,0.4235,13.81,2180.064,0.430011,0.0136
645,AP50522501,ASASSN-V J144731.78-482642.5,RRC,0.3576,14.36,2520.842,0.258628,0.0318
646,AP50966748,ASASSN-V J172706.37-552053.3,RRC,0.1314,15.29,4771.033,0.360704,0.0418
647,AP57497314,ASASSN-V J195406.18-683854.2,RRC,0.1789,14.35,4312.412,0.312581,0.0201
648,AP41181834,ASASSN-V J101027.61-535626.1,RRC,0.179,15.87,5947.924,0.224181,0.051
649,AP50692286,ASASSN-V J175232.09-595857.8,RRC,0.6301,11.91,1021.59,0.27804,0.3523
650,AP38403952,ASASSN-V J105902.61-703154.0,RRC,0.2559,13.92,2382.21,0.394689,0.1191
